,created_at,name,screen_name,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,text,tweets_ago
0,Sat Jun 09 17:01:05 +0000 2018,BBC,BBC,0.5719,0.0,0.829,0.171,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",0
1,Sat Jun 09 16:04:03 +0000 2018,BBC,BBC,0.4019,0.156,0.623,0.222,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",1
2,Sat Jun 09 15:02:02 +0000 2018,BBC,BBC,-0.7783,0.327,0.673,0.0,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,2
3,Sat Jun 09 14:04:02 +0000 2018,BBC,BBC,0.7717,0.0,0.472,0.528,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,3
4,Sat Jun 09 13:24:03 +0000 2018,BBC,BBC,0.3612,0.0,0.815,0.185,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",4
5,Sat Jun 09 13:03:06 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",5
6,Sat Jun 09 12:23:25 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,6
7,Sat Jun 09 12:03:00 +0000 2018,BBC,BBC,0.9317,0.0,0.441,0.559,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,7
8,Sat Jun 09 11:10:52 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,8
9,Sat Jun 09 11:04:08 +0000 2018,BBC,BBC,-0.7269,0.305,0.588,0.106,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",9
10,Sat Jun 09 10:10:06 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",10
11,Sat Jun 09 10:09:40 +0000 2018,BBC,BBC,-0.6808,0.219,0.73,0.051,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",11
12,Sat Jun 09 08:55:42 +0000 2018,BBC,BBC,0.8658,0.0,0.7,0.3,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",12
13,Sat Jun 09 08:54:21 +0000 2018,BBC,BBC,0.6239,0.0,0.806,0.194,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",13
14,Sat Jun 09 08:53:14 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,14
15,Sat Jun 09 08:52:54 +0000 2018,BBC,BBC,0.7579,0.0,0.787,0.213,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",15
16,Sat Jun 09 08:52:46 +0000 2018,BBC,BBC,0.8122,0.0,0.697,0.303,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,16
17,Sat Jun 09 08:52:33 +0000 2018,BBC,BBC,0.5859,0.0,0.853,0.147,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,17
18,Sat Jun 09 08:50:01 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",18
19,Sat Jun 09 08:32:05 +0000 2018,BBC,BBC,0.4215,0.0,0.877,0.123,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",19
20,Sat Jun 09 17:01:05 +0000 2018,BBC,BBC,0.5719,0.0,0.829,0.171,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",20
21,Sat Jun 09 16:04:03 +0000 2018,BBC,BBC,0.4019,0.156,0.623,0.222,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",21
22,Sat Jun 09 15:02:02 +0000 2018,BBC,BBC,-0.7783,0.327,0.673,0.0,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,22
23,Sat Jun 09 14:04:02 +0000 2018,BBC,BBC,0.7717,0.0,0.472,0.528,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,23
24,Sat Jun 09 13:24:03 +0000 2018,BBC,BBC,0.3612,0.0,0.815,0.185,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",24
25,Sat Jun 09 13:03:06 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",25
26,Sat Jun 09 12:23:25 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,26
27,Sat Jun 09 12:03:00 +0000 2018,BBC,BBC,0.9317,0.0,0.441,0.559,Your friend that likes gin will LOVE this. #TopOfTheShop 😍 #WorldGinDay https://t.co/0y9sqjluRF,27
28,Sat Jun 09 11:10:52 +0000 2018,BBC,BBC,0.0,0.0,1.0,0.0,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,28
29,Sat Jun 09 11:04:08 +0000 2018,BBC,BBC,-0.7269,0.305,0.588,0.106,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",29
