City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,castro,20,CL,1515963505,57,-42.48,-73.76,66.13,8.01
1,new norfolk,40,AU,1515960000,67,-42.78,147.06,60.8,9.17
2,synya,88,RU,1515963507,96,65.37,58.04,29.18,8.79
3,butaritari,88,KI,1515963507,99,3.07,172.79,83.86,21.32
4,ancud,12,CL,1515963508,56,-41.87,-73.83,69.19,6.78
5,sao joao da barra,40,BR,1515960000,62,-21.64,-41.05,86.0,18.34
6,atuona,48,PF,1515963509,100,-9.8,-139.03,80.62,16.28
7,kaitangata,12,NZ,1515963510,36,-46.28,169.85,78.46,11.48
8,hilo,1,US,1515959760,74,19.71,-155.08,78.8,4.7
9,mataura,8,NZ,1515963511,35,-46.19,168.86,80.44,5.66
10,vaini,32,IN,1515963512,63,15.34,74.49,71.89,2.53
11,bambous virieux,75,MU,1515960000,78,-20.34,57.76,80.6,18.34
12,morondava,76,MG,1515963513,100,-20.3,44.28,73.78,5.99
13,puerto escondido,8,MX,1515963514,100,15.86,-97.07,79.54,7.78
14,lavrentiya,80,RU,1515963515,100,65.58,-170.99,19.64,26.24
15,dingle,92,PH,1515963515,100,11.0,122.67,71.89,7.23
16,zaysan,0,KZ,1515963516,34,47.47,84.87,-25.32,0.63
17,amahai,100,ID,1515963516,100,-3.31,129.0,77.74,9.13
18,rikitea,0,PF,1515963518,100,-23.12,-134.97,80.39,6.55
19,lyngseidet,0,NO,1515961200,58,69.58,20.21,26.6,24.16
20,miri,0,NG,1515963519,68,10.31,9.75,57.04,3.42
21,hermanus,64,ZA,1515963519,86,-34.42,19.24,60.91,5.44
22,darhan,0,MN,1515963520,24,49.49,105.92,-18.34,2.53
23,kruisfontein,0,ZA,1515963520,96,-34.0,24.73,65.18,7.56
24,vestmannaeyjar,88,IS,1515963521,99,63.44,-20.27,34.27,29.15
25,alta floresta,8,BR,1515963522,69,-9.87,-56.08,86.11,1.74
26,bandarbeyla,8,SO,1515963523,100,9.49,50.81,74.9,19.64
27,san vicente,0,SV,1515959400,33,13.64,-88.78,86.0,13.87
28,punta arenas,40,CL,1515960000,44,-53.16,-70.91,59.0,34.45
29,bluff,0,AU,1515963525,40,-23.58,149.07,69.64,11.14
30,port macquarie,75,AU,1515960000,93,-31.43,152.91,59.0,9.17
31,ponta do sol,44,BR,1515963526,73,-20.63,-46.0,78.73,2.98
32,port elizabeth,1,US,1515963300,38,39.31,-74.98,26.6,10.29
33,thompson,20,CA,1515960000,62,55.74,-97.86,-16.61,4.7
34,polunochnoye,0,RU,1515963529,91,60.87,60.43,14.11,8.23
35,aksu,0,KZ,1515961800,76,52.04,76.93,-4.01,11.18
36,lagoa,0,PT,1515961800,81,37.14,-8.45,50.0,5.82
37,ushuaia,75,AR,1515960000,76,-54.81,-68.31,51.8,28.86
38,carnarvon,0,ZA,1515963531,16,-30.97,22.13,74.0,13.71
39,east london,100,ZA,1515963481,100,-33.02,27.91,72.38,4.99
40,palmer,20,AU,1515960000,72,-34.85,139.16,60.8,9.17
41,esperance,40,TT,1515960000,62,10.24,-61.45,86.0,10.29
42,lebu,0,ET,1515960000,37,8.96,38.73,51.8,5.82
43,iqaluit,20,CA,1515960000,67,63.75,-68.52,-25.61,5.82
44,kapaa,1,US,1515959760,73,22.08,-159.32,75.2,3.53
45,kisesa,40,TZ,1515960000,94,-2.55,33.05,68.0,4.7
46,severo-kurilsk,76,RU,1515963539,100,50.68,156.12,23.29,14.16
47,nalut,44,LY,1515963539,73,31.86,10.98,41.11,5.99
48,nikolskoye,90,RU,1515961800,79,59.7,30.79,21.2,6.71
49,hualmay,8,PE,1515963540,63,-11.1,-77.61,74.23,4.09
50,jamestown,0,AU,1515963542,72,-33.21,138.6,54.83,8.01
51,lodja,20,CD,1515963542,94,-3.52,23.6,70.76,2.42
52,tuatapere,8,NZ,1515963543,62,-46.13,167.69,71.89,12.71
53,cherskiy,76,RU,1515963543,83,68.75,161.3,-19.24,4.65
54,cape town,20,ZA,1515960000,82,-33.93,18.42,68.0,8.05
55,saint-philippe,1,CA,1515960900,64,45.36,-73.48,1.4,5.82
56,pevek,68,RU,1515963545,95,69.7,170.27,-8.17,13.49
57,san patricio,64,PY,1515963546,91,-26.98,-56.83,78.37,3.53
58,sisimiut,8,GL,1515963546,100,66.94,-53.67,-22.62,1.63
59,buraydah,0,SA,1515960000,33,26.33,43.97,57.2,4.7
60,xuddur,8,SO,1515963547,55,4.12,43.89,61.81,4.09
61,codrington,0,AU,1515963548,72,-28.95,153.24,65.77,5.99
62,hobart,40,AU,1515960000,67,-42.88,147.33,60.8,9.17
63,kodiak,20,US,1515963549,96,39.95,-94.76,26.98,13.27
64,ishigaki,80,JP,1515963549,100,24.34,124.16,66.08,17.52
65,faanui,88,PF,1515963550,97,-16.48,-151.75,83.86,18.75
66,harper,1,US,1515960900,35,30.3,-99.24,59.0,9.17
67,buenos aires,90,AR,1515960000,83,-34.61,-58.44,69.8,8.05
68,abnub,0,EG,1515960000,62,27.27,31.15,55.4,13.87
69,saint-francois,92,FR,1515963553,87,46.42,3.91,37.55,5.21
70,presidente olegario,36,BR,1515963554,65,-18.42,-46.42,80.62,4.76
71,castrillon,40,ES,1515960000,81,43.4,-6.79,46.4,8.05
72,mayo,90,CA,1515960000,74,63.59,-135.9,37.4,12.75
73,yangambi,24,CD,1515963556,96,0.77,24.47,74.23,2.19
74,tarakan,88,ID,1515963558,100,3.3,117.63,75.44,4.65
75,longyearbyen,75,NO,1515959400,100,78.22,15.63,28.4,3.36
76,noormarkku,80,FI,1515961200,79,61.59,21.87,28.4,16.11
77,roebourne,0,AU,1515963561,82,-20.77,117.15,79.72,9.13
78,umm kaddadah,0,SD,1515963562,34,13.6,26.69,57.8,11.25
79,wairoa,12,NZ,1515963562,85,-39.04,177.43,69.01,8.79
80,quatre cocos,75,MU,1515960000,78,-20.21,57.76,80.6,18.34
81,georgetown,40,GY,1515960000,78,6.8,-58.16,80.6,9.17
82,busselton,0,AU,1515963564,81,-33.64,115.35,76.84,16.62
83,albany,20,US,1515959640,43,42.65,-73.75,15.8,5.82
84,camacha,20,PT,1515961800,62,33.08,-16.33,60.8,14.99
85,kovdor,76,RU,1515963565,82,67.56,30.47,22.48,8.46
86,assiniboia,0,CA,1515963566,68,49.63,-105.99,6.23,13.6
87,sharya,88,RU,1515963567,87,58.37,45.52,20.63,2.42
88,ilulissat,48,GL,1515963000,91,69.22,-51.1,1.4,21.92
89,madang,56,PG,1515963569,100,-5.21,145.81,75.35,4.43
90,airai,76,TL,1515963570,95,-8.93,125.41,69.59,0.51
91,torbay,75,CA,1515960000,86,47.66,-52.73,41.0,14.99
92,marawi,92,PH,1515963571,100,8.0,124.29,67.57,2.19
93,qaanaaq,76,GL,1515963572,100,77.48,-69.36,-10.2,8.23
94,faya,0,SA,1515960000,26,18.39,42.45,57.2,1.19
95,katangli,48,RU,1515963573,100,51.71,143.23,6.5,10.13
96,antofagasta,20,CL,1515960000,64,-23.65,-70.4,69.8,16.11
97,tasiilaq,36,GL,1515963000,53,65.61,-37.64,24.8,8.05
98,hasaki,20,JP,1515961800,86,35.73,140.83,26.6,6.93
99,cabo san lucas,40,MX,1515959100,60,22.89,-109.91,84.2,10.29
100,buta,0,CD,1515963578,42,2.79,24.73,81.61,4.43
101,fortuna,0,ES,1515960000,57,38.18,-1.13,51.8,3.36
102,namibe,80,AO,1515963579,100,-15.19,12.15,74.0,9.01
103,luderitz,0,NA,1515960000,77,-26.65,15.16,66.2,16.11
104,atocha,75,EC,1515960000,87,-1.22,-78.6,51.8,6.93
105,vila velha,20,BR,1515960000,74,-3.71,-38.6,82.4,11.41
106,shiyan,0,CN,1515963583,74,32.65,110.78,20.18,2.08
107,aklavik,40,CA,1515960000,75,68.22,-135.01,-5.81,11.41
108,rincon,1,US,1515962100,31,32.3,-81.24,50.0,6.93
109,pisco,0,PE,1515960000,83,-13.71,-76.2,71.6,10.29
110,key largo,20,US,1515959760,68,25.09,-80.45,71.6,11.41
